hours_studied,attendance_percent,parent_education,internet_access,school_type,sports_participation,part_time_job,siblings,commute_time_mins,favorite_subject,club_member,self_study_hours,pet_count,locker_number,bus_route,screen_time_weekly,height_cm,weight_kg,lunch_type,math_tutor,reading_habit,video_game_freq,music_hours_weekly,parent_meeting_freq,uniform
4.743108190098317,79.78145254497201,3.0,,,1.0,0.0,4.0,31.68138159941679,2.0,0.0,1.2302505287841528,0.0,169.0,2.0,2.3396723337912118,157.39827413531359,53.05526118047915,0.0,,1.0,0.0,0.8980323269413635,1.0,1.0
10.992036339750758,97.66655810717715,3.0,1.0,0.0,3.0,,1.0,19.423883212326622,4.0,,1.3590680105889699,0.0,375.0,4.0,,151.2956535812507,60.62821300529456,2.0,1.0,1.0,3.0,3.291396790154886,0.0,0.0
8.848935494155976,57.95059834764429,2.0,0.0,0.0,1.0,0.0,3.0,28.859971570919125,0.0,1.0,0.23343959052302643,,183.0,1.0,16.98936850105261,183.90063996669338,65.65552898845178,0.0,1.0,0.0,1.0,0.0,2.0,1.0
3.4811158582457242,84.63689859578484,0.0,0.0,0.0,2.0,0.0,4.0,40.0838530080322,1.0,1.0,1.8572969981381924,2.0,267.0,13.0,11.631092738170198,164.8355701157457,38.35732346935944,2.0,1.0,2.0,1.0,2.4102329883849833,0.0,0.0
6.2641992440943906,58.081773824761115,1.0,0.0,0.0,3.0,1.0,2.0,23.83882015896297,2.0,1.0,1.1939786169282993,1.0,149.0,18.0,15.372884519835619,166.30360407264337,39.271752543123206,,0.0,1.0,2.0,1.2002750483654423,1.0,1.0
12.954309611291453,66.69651025457716,3.0,0.0,1.0,3.0,1.0,1.0,37.29629208073108,0.0,1.0,1.346732754923436,1.0,584.0,18.0,14.53536952244905,176.74549532599085,64.34267548496008,2.0,1.0,2.0,2.0,6.485663589096394,2.0,
0.7199622698207779,60.45716718944312,2.0,0.0,,0.0,1.0,0.0,,4.0,1.0,1.8128147199075038,0.0,109.0,1.0,7.893047764374152,146.21315211843933,68.42039803362607,2.0,1.0,3.0,1.0,7.47678471806547,0.0,0.0
6.713262113431468,63.99060078095354,1.0,1.0,2.0,2.0,0.0,3.0,30.06406364672088,2.0,0.0,1.950928849758093,0.0,549.0,18.0,13.058085152255579,166.31062594041586,65.87693068633163,2.0,1.0,0.0,0.0,12.024411272368088,2.0,1.0
11.797808776116602,84.43743070600955,3.0,1.0,0.0,1.0,0.0,0.0,15.62054343411703,1.0,1.0,2.6374935682292513,2.0,287.0,4.0,8.101199420610676,155.13783303503456,46.922817370665264,0.0,1.0,1.0,1.0,5.8924551165068095,2.0,1.0
5.399778793204694,76.55207721500018,2.0,0.0,1.0,2.0,0.0,4.0,22.01215106626116,4.0,1.0,2.0803293372955807,1.0,274.0,5.0,20.41594752611986,161.57854184353695,61.01581605059242,1.0,0.0,0.0,,0.0,0.0,0.0
5.9633415451338365,54.19110751048188,0.0,1.0,0.0,3.0,1.0,2.0,38.15983592515852,1.0,0.0,2.224077491778003,0.0,477.0,17.0,14.096964990969802,161.62917731355984,42.01693371073945,2.0,0.0,3.0,2.0,6.570613665702032,1.0,0.0
